Value;English;Att;M-Att;Def;M-Def;Eva;M-Eva
8324215;Enchanted Nethershield;0;0;0;0;39;42
8324216;Auld Nethershield;0;0;0;0;27;29
8324217;Celestial Carapace;0;0;0;0;12;18
8324218;Shieldisk;0;0;0;0;26;26
8324533;Emma's Longsword;50;34;22;12;8;0
8324534;Emma's Longsword;73;46;25;17;10;0
8324535;Emma's Tuck;40;47;16;21;8;0
8324536;Emma's Tuck;52;64;17;25;10;0
8324564;Rhongomynad;157;102;39;23;10;0
8324565;Rhongomynad Artis;170;138;39;33;14;0
8324566;Rhongomynad Virtutis;195;197;46;43;20;0
8324567;Somberblade;121;122;57;20;7;0
8324568;Somberblade Artis;141;142;73;23;9;0
8324569;Somberblade Virtutis;182;179;94;30;14;0
8324570;Dvergr;100;148;15;59;6;0
8324571;Dvergr Artis;118;179;15;63;10;0
8324572;Dvergr Virtutis;149;225;20;84;12;0
8324573;Crimsonblade;118;146;12;39;10;0
8324574;Crimsonblade Virtutis;146;174;15;47;13;0
8324575;Nightbloom Royal;179;221;20;62;20;0
8324576;Meteor;156;66;50;51;9;0
8324577;Meteor Artis;181;79;58;57;11;0
8324578;Meteor Virtutis;230;97;75;76;18;0
8324579;Azureblade;149;121;36;14;10;0
8324580;Azureblade Virtutis;179;143;48;16;13;0
8324581;Nightbloom Mist;220;179;58;19;20;0
8324582;Frostsword;136;134;24;26;9;0
8324583;Frostsword Artis;160;160;29;29;11;0
8324584;Frostsword Virtutis;200;200;35;39;18;0
8324586;Faleria Heart;1;1;1;1;99;0
